0,0
1,14
2,13
3,10
4,13
5,15
6,17
7,16
8,9
9,9
10,14
11,16
12,14
13,17
14,11
15,15
16,13
17,13
18,10
19,12
20,10
21,12
22,15
23,11
24,14
25,17
26,13
27,10
28,16
29,14
30,11
31,16
32,10
33,20
34,11
35,9
36,14
37,13
38,15
39,18
40,11
41,14
42,13
43,14
44,14
45,8
46,12
47,13
48,14
49,11
50,16
51,16
52,13
53,12
54,16
55,15
56,13
57,12
58,18
59,11
60,14
61,11
62,16
63,14
64,12
65,17
66,16
67,10
68,14
69,17
70,14
71,11
72,14
73,14
74,17
75,18
76,15
77,9
78,17
79,14
80,18
81,16
82,15
83,12
84,15
85,16
86,18
87,14
88,12
89,17
90,14
91,13
92,12
93,9
94,9
95,15
96,10
97,9
98,10
99,14
100,16
101,13
102,10
103,7
104,12
105,18
106,22
107,15
108,12
109,12
110,17
111,13
112,11
113,19
114,12
115,13
116,12
117,10
118,16
119,13
120,7
121,12
122,16
123,16
124,10
125,17
126,12
127,13
128,10
129,12
130,13
131,12
132,16
133,15
134,11
135,8
136,15
137,18
138,16
139,16
140,15
141,11
142,17
143,15
144,14
145,14
146,12
147,14
148,11
149,12
150,12
151,17
152,14
153,17
154,15
155,16
156,10
157,13
158,13
159,15
160,17
161,11
162,14
163,14
164,17
165,8
166,14
167,13
168,10
169,14
170,12
171,11
172,13
173,16
174,14
175,16
176,11
177,14
178,8
179,12
180,21
181,17
182,12
183,13
184,13
185,9
186,17
187,13
188,17
189,15
190,16
191,16
192,12
193,14
194,14
195,18
196,9
197,10
198,18
199,16
200,13
201,9
202,9
203,18
204,16
205,11
206,13
207,16
208,16
209,18
210,15
211,12
212,19
213,16
214,11
215,10
216,17
217,16
218,11
219,14
220,14
221,12
222,11
223,15
224,10
225,15
226,14
227,10
228,19
229,12
230,14
231,15
232,10
233,17
234,12
235,11
236,19
237,15
238,9
239,13
240,22
241,11
242,15
243,18
244,12
245,11
246,12
247,13
248,14
249,15
250,16
251,11
252,13
253,10
254,11
255,10
256,16
257,16
258,13
259,13
260,14
261,15
262,12
263,15
264,10
265,9
266,11
267,12
268,17
269,16
270,16
271,12
272,15
273,15
274,11
275,11
276,12
277,15
278,19
279,12
280,14
281,10
282,13
283,14
284,12
285,14
286,17
287,19
288,14
289,10
290,16
291,13
292,14
293,14
294,16
295,15
296,13
297,15
298,11
299,15
300,18
301,11
302,12
303,15
304,11
305,13
306,17
307,11
308,14
309,13
310,13
311,14
312,15
